"date","type","titre","texte","mediaUrl","mediaCredit","mediaLegend","mediaThumbnail","backgroundUrl","backgroundColor"
,"title","Histoire de l’optique ondulatoire","La science est faite d’observations, de questionnements et de réponses qui évoluent et s’enrichissent avec le temps. Ce mode de pensée s’attache à comprendre et décrire la réalité du monde. Comment la nature ondulatoire dela lumière a-t-elle historiquement émergé?  ","https://fr.wikipedia.org/wiki/Optique_physique",,,,"https://upload.wikimedia.org/wikipedia/commons/f/f0/Domaines_du_spectre_%C3%A9lectromagn%C3%A9tique.svg","#77777799"
1666,,"Isaac NEWTON (1643-1727)","Il étudie la dispersion de la lumière par un prisme et constate que la déviation dépend  de la couleur de la lumière  et du prisme.","https://upload.wikimedia.org/wikipedia/commons/3/39/GodfreyKneller-IsaacNewton-1689.jpg","<a rel=""nofollow"" class=""external free"" href=""http://www.newton.cam.ac.uk/art/portrait.html"">http://www.newton.cam.ac.uk/art/portrait.html</a>","This a copy of a painting by Sir Godfrey Kneller(1689). This copy was painted by Barrington Bramley.",,"https://upload.wikimedia.org/wikipedia/commons/8/84/Isaac_Newton_signature_ws.svg?uselang=fr","lightgray"
1678,,"Christian Huygens (1629-1695)","Il intérprète les observations de I. Newton dans son traité de la lumière. Il avance l’hypothèse que celle-ci se propage sous forme d’ondes.","https://fr.wikipedia.org/wiki/Christian_Huygens",,,,"https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Huygens_-_Correspondance._1638-1656%2C_1888_-_3917544.tif/lossy-page1-800px-Huygens_-_Correspondance._1638-1656%2C_1888_-_3917544.tif.jpg",
1801,,"Thomas Young (1773-1829)","Il réalise l’expérience historique des fentes d’Young. Il met également en évidence les phénomènes de diffraction et d’interférences lumineuses et les explique par le carctère ondulatoire de la lumière.","img/Interference_electrons_double-slit_at_10cm.png","By Alexandre Gondran (Own work) [<a href=""https://creativecommons.org/licenses/by-sa/4.0"">CC BY-SA 4.0</a>]<a href=""https://commons.wikimedia.org/wiki/File%3AInterference_electrons_double-slit_at_10cm.png"">via Wikimedia Commons</a>","Comparaison des phénomènes de diffraction et d’interférences","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Thomas_Young_%28scientist%29.jpg/189px-Thomas_Young_%28scientist%29.jpg",,"#001d55"
1842,,"Christian Doppler (1803-1853)","Après avoir étudié la propagation des ondes sonores, il prévoit la variation de fréquence d’une onde émise par une source en mouvement. Il donne son nom à l’effet Doppler, qui sera utilisé plus tard dans le domaine des ondes électromagnétiques.","https://www.youtube.com/watch?v=88Pvmxn2Kk8","Nicolas Maison","Effet Doppler : modélisation à l'aide du klaxon de voiture ",,"https://upload.wikimedia.org/wikipedia/commons/d/d4/Velocity0_70c.jpg",
